GENERO,PRIMER_NOMBRE,SEGUNDO_NOMBRE,PRIMER_APELLIDO,SEGUNDO_APELLIDO,FECHA_NACIMIENTO,CORREO,correo_original,numero_pasaporte,ruta_foto,imagen_usada,pasaporte_visual,estado,motivo_no_generado,meta_total_registros,meta_timestamp
,,,,,,,,,,,,,,50,20251006_055358
F,Lidia,,Teletor,,1982-03-13,l1d14_t3l3t0r_13@outlook.com,l1d14_t3l3t0r_13@outlook.com,145092728,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_47_2289_20251003_085239.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_47_2289_20251003_085239.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/OUTPUT/pasaportes_visuales/l1d14_t3l3t0r_13@outlook.com.png,generado,,,
F,Mahalah,,Roca,Royo,1989-07-24,m4h4l4h_r0y0_24@hotmail.com,m4h4l4h_r0y0_24@hotmail.com,184002735,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_22_33_20251003_204848.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_22_33_20251003_204848.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/OUTPUT/pasaportes_visuales/m4h4l4h_r0y0_24@hotmail.com.png,generado,,,
F,Yun,,Liang,,1988-04-19,yun_l14n9_19@outlook.com,yun_l14n9_19@outlook.com,102697077,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_19_476_20251003_162443.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_19_476_20251003_162443.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/OUTPUT/pasaportes_visuales/yun_l14n9_19@outlook.com.png,generado,,,
F,Amparo,,Lambis,,1992-04-04,amp4r0_l4mb15_04@hotmail.com,amp4r0_l4mb15_04@hotmail.com,139200102,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_20_3431_20251003_085239.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_20_3431_20251003_085239.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/OUTPUT/pasaportes_visuales/amp4r0_l4mb15_04@hotmail.com.png,generado,,,
F,Amparo,,Sandoval,,1994-12-10,amp4r0_s4nd0v4l_12@outlook.com,amp4r0_s4nd0v4l_12@outlook.com,139208253,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_20_205_20251003_204848.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_20_205_20251003_204848.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/OUTPUT/pasaportes_visuales/amp4r0_s4nd0v4l_12@outlook.com.png,generado,,,
F,Melina,Abagail,Fiore,,1995-12-09,m3l1n4_f10r3_12@hotmail.com,m3l1n4_f10r3_12@hotmail.com,113399572,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_50_2779_20251003_162443.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_50_2779_20251003_162443.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/OUTPUT/pasaportes_visuales/m3l1n4_f10r3_12@hotmail.com.png,generado,,,
F,Meryame,,Blas,,1999-01-26,m3ry4m3_bl45_26@outlook.com,m3ry4m3_bl45_26@outlook.com,153286668,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_21_4799_20251003_085239.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_21_4799_20251003_085239.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/OUTPUT/pasaportes_visuales/m3ry4m3_bl45_26@outlook.com.png,generado,,,
F,Monica,,Magunagoikoetxea,,1997-09-23,m0n1c4_m49un4901k03tx34_23@hotmail.com,m0n1c4_m49un4901k03tx34_23@hotmail.com,144501005,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_47_3490_20251003_085239.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_47_3490_20251003_085239.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/OUTPUT/pasaportes_visuales/m0n1c4_m49un4901k03tx34_23@hotmail.com.png,generado,,,
F,Ana,,Pascacio,,1971-09-19,an4_p45c4c10_19@outlook.com,an4_p45c4c10_19@outlook.com,115809451,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_47_464_20251003_085239.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/DATA/Imagenes_Mujeres/massive_venezuelan_mujer_47_464_20251003_085239.png,/media/warcklian/DATA_500GB/CODE/SISTEMA_GAFETES_FINAL/OUTPUT/pasaportes_visuales/an4_p45c4c10_19@outlook.com.png,generado,,,
